what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965685623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965685872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965687006
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1341965690386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965692349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965692633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965693580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965702760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965702904
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965703794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965710288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965713266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965714945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965717150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965718807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965732681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965734971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965743509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965745115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965745343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965745517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965745693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965745844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965746063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1341965746719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965748926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965759189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965759295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965761709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965766359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965766476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965767313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965799157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341965804194
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341965809742
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1341965810906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1341965812961
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1341965814032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341965818659
